x,y,z,d
-0.039999999999999994,0.17502056599432367,0.09805,0.024823029995861577
-0.03,0.17502056599432367,0.09805,0.02692755203142702
-0.020000000000000004,0.17502056599432367,0.09805,0.0036481937137675356
-0.009999999999999995,0.17502056599432367,0.09805,0.03630232580785229
0.0,0.17502056599432367,0.09805,0.03680530493680394
0.010000000000000002,0.17502056599432367,0.09805,0.010351720695778745
0.020000000000000004,0.17502056599432367,0.09805,0.009867285101139416
0.030000000000000002,0.17502056599432367,0.09805,0.010577701585933661
0.04,0.17502056599432367,0.09805,0.011231186850443815
0.05,0.17502056599432367,0.09805,0.010928084989486851
-0.039999999999999994,0.18502056599432365,0.09805,0.012027768508566544
