(-0.039999999999999994, 0.17502056599432367, 0.09805);(-0.009930706817230388, 0.17487117517909087, 0.03336658544863931);(0.03908477909606761, 0.07395036996556958, 0.016455499319774865)
(-0.03, 0.17502056599432367, 0.09805);(-0.030027789385233674, 0.17483007953756227, 0.033267550628961653);(-0.02768748747706439, 0.1719054589605969, 0.03110552484930411)
(-0.020000000000000004, 0.17502056599432367, 0.09805);(-0.020054235807312384, 0.17485107781005144, 0.03337540101325846);(-0.02133957975180658, 0.1728084409499862, 0.03110558369310422)
(-0.009999999999999995, 0.17502056599432367, 0.09805);(-0.009929077795545301, 0.17486769282388512, 0.033367078505352116);(-0.012244598965243651, 0.17357724629827598, 0.0313544932134006)
(0.0, 0.17502056599432367, 0.09805);(0.000055741241179920674, 0.1749718644419113, 0.03334678998221054);(-0.0022447594704709008, 0.1736507856163006, 0.03164279069819892)
(0.010000000000000002, 0.17502056599432367, 0.09805);(0.009967051965406376, 0.174955410643899, 0.03334882816995431);(0.007876124126802877, 0.17348659718672743, 0.03164279815093933)
(0.020000000000000004, 0.17502056599432367, 0.09805);(0.01998278589920916, 0.1749569840017616, 0.03334357451215256);(0.018178603342758323, 0.172630133629664, 0.031540742693111745)
(0.030000000000000002, 0.17502056599432367, 0.09805);(0.030019429737638666, 0.17492740702038814, 0.033330215700071456);(0.028563121558398408, 0.17155328602904035, 0.030879096628619415)
(0.04, 0.17502056599432367, 0.09805);(0.03998976720888683, 0.17490258954014692, 0.03332203644537837);(0.03807398277231286, 0.1718652015353695, 0.030731182363135406)
(0.05, 0.17502056599432367, 0.09805);(0.05005508975253631, 0.17493376185107173, 0.03331118232467965);(0.0480993604217965, 0.17126284628040117, 0.030407825500360253)
(-0.039999999999999994, 0.18502056599432365, 0.09805);(-0.03994214956466259, 0.18479869431750776, 0.03327261831671255);(-0.03680096248768674, 0.1814925867444825, 0.030395931252031744)
(-0.03, 0.18502056599432365, 0.09805);(-0.030060860347547243, 0.1848320019340642, 0.033363093478933945);(-0.03125782204802209, 0.18365981445806223, 0.031154329681137377)
(-0.020000000000000004, 0.18502056599432365, 0.09805);(-0.02003491492234559, 0.18488303176339135, 0.033354747971699);(-0.021558899049214136, 0.18367977210346004, 0.03119590527602266)
(-0.009999999999999995, 0.18502056599432365, 0.09805);(-0.009944926072339991, 0.18487490370234808, 0.03336275767017639);(-0.011531389407693013, 0.1836168362438148, 0.03106854935866596)
(0.0, 0.18502056599432365, 0.09805);(0.00004545577827295329, 0.18496630928204252, 0.033342100981251344);(-0.0016523029779716236, 0.1832241636503436, 0.030929258743131932)
(0.010000000000000002, 0.18502056599432365, 0.09805);(0.009986205699836378, 0.18487725430206323, 0.033350306461625207);(0.008450216354261356, 0.18303678802586182, 0.03092939222346333)
(0.020000000000000004, 0.18502056599432365, 0.09805);(0.01997911652787722, 0.1849265444663912, 0.03332700766757962);(0.01855898652581423, 0.18228937683821683, 0.03092934026703767)
(0.030000000000000002, 0.18502056599432365, 0.09805);(0.03002986871845778, 0.18494331399780145, 0.03332706208213894);(0.028438210304739277, 0.1816828490881483, 0.030743720436869584)
(0.04, 0.18502056599432365, 0.09805);(0.03999820641711599, 0.1849574963566233, 0.03332723683362526);(0.03814282163675389, 0.18186971253868378, 0.030829609607632452)
(0.05, 0.18502056599432365, 0.09805);(0.05004634582878449, 0.18494783055813968, 0.03332502949067706);(0.04784196997596818, 0.18245034640146718, 0.0312165971515119)
(-0.039999999999999994, 0.19502056599432366, 0.09805);(-0.039930163766054794, 0.19487147892306936, 0.033256971274677846);(-0.0374632620152152, 0.19164488236132893, 0.030651510880050234)
(-0.03, 0.19502056599432366, 0.09805);(-0.029954705123660347, 0.19489610542461908, 0.033375790691666754);(-0.031039489566962904, 0.1935073792763064, 0.03126677420069027)
(-0.020000000000000004, 0.19502056599432366, 0.09805);(-0.02000567396983105, 0.1949263421635488, 0.03335265561238039);(-0.021843416880012317, 0.19353943472867302, 0.031162884033916566)
(-0.009999999999999995, 0.19502056599432366, 0.09805);(-0.009955151498948314, 0.194880791121099, 0.03336096362439046);(-0.011851720400808001, 0.1932449091394992, 0.030817692861037846)
(0.0, 0.19502056599432366, 0.09805);(0.00006678070175976889, 0.19496719017922925, 0.033337403843106614);(-0.0020173630897383815, 0.19348009609050976, 0.03089160769391)
(0.010000000000000002, 0.19502056599432366, 0.09805);(0.009972347284790628, 0.1949442778562, 0.033341417954242794);(0.008381284098653673, 0.1933090796132449, 0.030891622332592752)
(0.020000000000000004, 0.19502056599432366, 0.09805);(0.02001670236816762, 0.19497001810531964, 0.033326282058489684);(0.018150694701394632, 0.19263747492153627, 0.030891622253370873)
(0.030000000000000002, 0.19502056599432366, 0.09805);(0.02996975131920268, 0.19496469151164042, 0.033331332174091);(0.02864255870680576, 0.19186527770585998, 0.03078340344837953)
(0.04, 0.19502056599432366, 0.09805);(0.03995819679488684, 0.19494393831644394, 0.0333278478296546);(0.03803237365749197, 0.19218947747592913, 0.031086053963883156)
(0.05, 0.19502056599432366, 0.09805);(0.049984340920064305, 0.19494711762267666, 0.03331467900330312);(0.04780117489172667, 0.19231773859415235, 0.031194869735192143)
(-0.039999999999999994, 0.20502056599432367, 0.09805);(-0.04001332970744599, 0.20487905859749334, 0.0332276956315498);(-0.0379956045300976, 0.20206752890621787, 0.030821820482518636)
(-0.03, 0.20502056599432367, 0.09805);(-0.03000519284014274, 0.20491837737453075, 0.03335433968409679);(-0.03130976348326131, 0.2028335896248184, 0.030786175555378922)
(-0.020000000000000004, 0.20502056599432367, 0.09805);(-0.02003953931511398, 0.20486380123789003, 0.03334943652363423);(-0.02127218281731409, 0.2025973029606833, 0.030317796571637287)
(-0.009999999999999995, 0.20502056599432367, 0.09805);(-0.009945731534941578, 0.20483781299578138, 0.03334913848501918);(-0.011706992675753512, 0.2028320328164377, 0.03018228481897449)
(0.0, 0.20502056599432367, 0.09805);(0.00000392582665887808, 0.20492068907213393, 0.03332296689215597);(-0.00193660515742979, 0.2027760936870716, 0.03009630919008273)
(0.010000000000000002, 0.20502056599432367, 0.09805);(0.01003766855997396, 0.2049636176043839, 0.03332318471461944);(0.008324846215320788, 0.20261447866643267, 0.030096145044475872)
(0.020000000000000004, 0.20502056599432367, 0.09805);(0.020007021346128258, 0.20492887235075594, 0.03332370711319313);(0.018247897851398447, 0.20196262138165783, 0.030096212558756955)
(0.030000000000000002, 0.20502056599432367, 0.09805);(0.030037634392997607, 0.20493097291731882, 0.033315627441694626);(0.027985007136683712, 0.20177963100872054, 0.03031776690460751)
(0.04, 0.20502056599432367, 0.09805);(0.04004745704505843, 0.20493358255997277, 0.033303376489016503);(0.0381092220265906, 0.2025535159927157, 0.031158979204366416)
(0.05, 0.20502056599432367, 0.09805);(0.04993162861067055, 0.20491923344239943, 0.03331014326502274);(0.04786687124138623, 0.202418864801796, 0.030959472141024555)
(-0.039999999999999994, 0.21502056599432368, 0.09805);(-0.03991361176773127, 0.214849438294856, 0.03322878680541841);(-0.03707827977646173, 0.2114041552360082, 0.030110681358120436)
(-0.03, 0.21502056599432368, 0.09805);(-0.029926811077158295, 0.21490781186290242, 0.03334834807387593);(-0.031485267845545235, 0.21286446258496972, 0.030511560936695506)
(-0.020000000000000004, 0.21502056599432368, 0.09805);(-0.019968346893292757, 0.214884956507174, 0.03334054761997343);(-0.021173149244648033, 0.212163697735488, 0.029631697773359028)
(-0.009999999999999995, 0.21502056599432368, 0.09805);(-0.009967591206237728, 0.21483058222315338, 0.033340428567348146);(-0.011517122586933196, 0.21237654254297061, 0.02944174434145584)
