(-0.039999999999999994, 0.17502056599432367, 0.09805);(-0.0300677073175451, 0.18484416507809312, 0.03337130750097658);(-0.03426507048329885, 0.18354296908038953, 0.0314610807178794)
(-0.03, 0.17502056599432367, 0.09805);(-0.030027789385233674, 0.17483007953756227, 0.033267550628961653);(-0.028197732900652226, 0.17537986087085206, 0.03243441839831493)
(-0.020000000000000004, 0.17502056599432367, 0.09805);(-0.020054235807312384, 0.17485107781005144, 0.03337540101325846);(-0.021020014121434345, 0.17500554474116153, 0.03252670127225915)
(-0.009999999999999995, 0.17502056599432367, 0.09805);(-0.009929077795545301, 0.17486769282388512, 0.033367078505352116);(-0.011332395528090927, 0.1747506133666622, 0.03236493266926953)
(0.0, 0.17502056599432367, 0.09805);(0.000055741241179920674, 0.1749718644419113, 0.03334678998221054);(-0.0017933944932309394, 0.17605731089958387, 0.03304028906680127)
(0.010000000000000002, 0.17502056599432367, 0.09805);(0.009967051965406376, 0.174955410643899, 0.03334882816995431);(0.008466850996341204, 0.17586275604622797, 0.03304029646793834)
(0.020000000000000004, 0.17502056599432367, 0.09805);(0.01998278589920916, 0.1749569840017616, 0.03334357451215256);(0.01874472615331955, 0.17490414159535939, 0.03292492326409015)
(0.030000000000000002, 0.17502056599432367, 0.09805);(0.030019429737638666, 0.17492740702038814, 0.033330215700071456);(0.029033380656392913, 0.17291237245702612, 0.03198121370710243)
(0.04, 0.17502056599432367, 0.09805);(0.03998976720888683, 0.17490258954014692, 0.03332203644537837);(0.038744611221753385, 0.17293596083933743, 0.03173488200609813)
(0.05, 0.17502056599432367, 0.09805);(0.05005508975253631, 0.17493376185107173, 0.03331118232467965);(0.038744611221753385, 0.17293596083933743, 0.03173488200609813)
(-0.039999999999999994, 0.18502056599432365, 0.09805);(-0.03994214956466259, 0.18479869431750776, 0.03327261831671255);(-0.03651793361895276, 0.1830736451862373, 0.03167157725186483)
(-0.03, 0.18502056599432365, 0.09805);(-0.030060860347547243, 0.1848320019340642, 0.033363093478933945);(-0.031225571769633535, 0.18471391572708673, 0.03212393294426624)
(-0.020000000000000004, 0.18502056599432365, 0.09805);(-0.02003491492234559, 0.18488303176339135, 0.033354747971699);(-0.021105711953318382, 0.18461410798550093, 0.032137660403931026)
(-0.009999999999999995, 0.18502056599432365, 0.09805);(-0.009944926072339991, 0.18487490370234808, 0.03336275767017639);(-0.011452745423456468, 0.1848058554673716, 0.0321243078200399)
(0.0, 0.18502056599432365, 0.09805);(0.00004545577827295329, 0.18496630928204252, 0.033342100981251344);(-0.0012835730193931907, 0.18457330857879345, 0.03209387299086383)
(0.010000000000000002, 0.18502056599432365, 0.09805);(0.009986205699836378, 0.18487725430206323, 0.033350306461625207);(0.00889283146321817, 0.1843632998209898, 0.0320938657749603)
(0.020000000000000004, 0.18502056599432365, 0.09805);(0.01997911652787722, 0.1849265444663912, 0.03332700766757962);(0.019074295185486624, 0.18358951404592538, 0.03209388793164242)
(0.030000000000000002, 0.18502056599432365, 0.09805);(0.03002986871845778, 0.18494331399780145, 0.03332706208213894);(0.029058860200194787, 0.18278311490604393, 0.03179882375228674)
(0.04, 0.18502056599432365, 0.09805);(0.03999820641711599, 0.1849574963566233, 0.03332723683362526);(0.038823492954587965, 0.18293329466250485, 0.031897193540232696)
(0.05, 0.18502056599432365, 0.09805);(0.05004634582878449, 0.18494783055813968, 0.03332502949067706);(0.04865428962117421, 0.18265752148318082, 0.03152983688511604)
(-0.039999999999999994, 0.19502056599432366, 0.09805);(-0.039930163766054794, 0.19487147892306936, 0.033256971274677846);(-0.037539940647057284, 0.19342054147092913, 0.03270217677982279)
(-0.03, 0.19502056599432366, 0.09805);(-0.029954705123660347, 0.19489610542461908, 0.033375790691666754);(-0.03120572216363545, 0.19556844671999252, 0.03354029883831547)
