0(0.05, 0.26502056599432366, 0.18805);169,['2.0782104', '-0.4870929', '-1.7785195', '0.69530934', '-0.00090776494', '0.5077684'];0
1(0.04, 0.26502056599432366, 0.18805);1,['1.6643587', '-0.987123', '-0.742404', '0.15789084', '0.00081269443', '0.093580104'];0
2(0.030000000000000002, 0.26502056599432366, 0.18805);3,['1.7028757', '-0.96885985', '-0.77279276', '0.17052738', '-0.00044264825', '0.13187826'];0
3(0.020000000000000004, 0.26502056599432366, 0.18805);5,['1.7411622', '-0.9567116', '-0.7963192', '0.18166766', '-0.00047861628', '0.17020027'];0
4(0.010000000000000002, 0.26502056599432366, 0.18805);7,['1.7793176', '-0.9495238', '-0.8104889', '0.18865912', '-0.0005581902', '0.2088488'];0
5(0.0, 0.26502056599432366, 0.18805);9,['1.817178', '-0.9478269', '-0.8126496', '0.18771346', '-0.0004253631', '0.24627604'];0
6(-0.009999999999999995, 0.26502056599432366, 0.18805);11,['1.8545762', '-0.9494529', '-0.8114183', '0.19008967', '0.00040595097', '0.2832893'];0
7(-0.020000000000000004, 0.26502056599432366, 0.18805);13,['1.8916615', '-0.95638186', '-0.7983449', '0.18458252', '0.000354181', '0.3210097'];0
8(-0.03, 0.26502056599432366, 0.18805);15,['1.9282486', '-0.9685693', '-0.77446693', '0.17283349', '-7.59219e-05', '0.35798287'];0
9(-0.039999999999999994, 0.26502056599432366, 0.18805);17,['1.9638923', '-0.98667306', '-0.73827124', '0.15394017', '0.0011878199', '0.39314783'];0
10(0.05, 0.25502056599432366, 0.18805);19,['1.6284959', '-0.88526624', '-0.9349812', '0.25089213', '-5.279303e-05', '0.057555243'];0
11(0.04, 0.25502056599432366, 0.18805);21,['1.6681197', '-0.866785', '-0.96977323', '0.2651397', '0.0006553162', '0.097428665'];0
12(0.030000000000000002, 0.25502056599432366, 0.18805);23,['1.7083007', '-0.8520911', '-0.99747896', '0.2775305', '-0.0011600123', '0.13701926'];0
13(0.020000000000000004, 0.25502056599432366, 0.18805);25,['1.7479724', '-0.8417267', '-1.0176164', '0.2876209', '-0.00030229692', '0.17770731'];0
14(0.010000000000000002, 0.25502056599432366, 0.18805);27,['1.7876688', '-0.83560777', '-1.02909', '0.29279387', '-0.0004341097', '0.21745765'];0
15(0.0, 0.25502056599432366, 0.18805);29,['1.8270807', '-0.83384067', '-1.0316464', '0.2926382', '-0.00057585834', '0.25617817'];0
16(-0.009999999999999995, 0.25502056599432366, 0.18805);31,['1.8658403', '-0.83555144', '-1.0302113', '0.2947417', '0.0007504203', '0.29552007'];0
