2024-07-24 14:42:36.546,12,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.794281E-06 0.0001171604 -2.189128E-05,0 0.1649933 0,359.9773 0.0001042479 90.00013,0 0.2749786 -6.103516E-05,359.9773 -0.00273909 -5.177965E-05,0 0.2749786 -6.103516E-05,0.03234685 179.9974 90.00024,0 0.4009705 -0.0001220703,0.03234039 179.9971 3.196381E-05,0 0.4009857 -0.0001220703,0.03234928 179.9971 90.00019,0 0.4569855 -0.0001220703,0.03234528 179.9971 2.171714E-05
2024-07-24 14:42:36.550,13,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.027753E-06 0.0001811868 -2.598673E-05,0 0.1649933 0,359.9707 0.0001687521 90.00014,0 0.2749786 -6.103516E-05,359.9707 -0.003485142 -4.507024E-05,0 0.2749786 -6.103516E-05,0.04183324 179.9967 90.00024,0 0.4009705 -0.0001220703,0.04182686 179.9964 3.252402E-05,0 0.4009857 -0.0001220703,0.04183825 179.9963 90.0002,0 0.4569855 -0.0001831055,0.04183442 179.9963 1.203185E-05
2024-07-24 14:42:36.553,14,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.027753E-06 0.0001811868 -2.598673E-05,0 0.1649933 0,359.9707 0.0001687521 90.00014,0 0.2749786 -6.103516E-05,359.9707 -0.003485142 -4.507024E-05,0 0.2749786 -6.103516E-05,0.04183324 179.9967 90.00024,0 0.4009705 -0.0001220703,0.04182686 179.9964 3.252402E-05,0 0.4009857 -0.0001220703,0.04183825 179.9963 90.0002,0 0.4569855 -0.0001831055,0.04183442 179.9963 1.203185E-05
2024-07-24 14:42:36.555,15,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.027753E-06 0.0001811868 -2.598673E-05,0 0.1649933 0,359.9707 0.0001687521 90.00014,0 0.2749786 -6.103516E-05,359.9707 -0.003485142 -4.507024E-05,0 0.2749786 -6.103516E-05,0.04183324 179.9967 90.00024,0 0.4009705 -0.0001220703,0.04182686 179.9964 3.252402E-05,0 0.4009857 -0.0001220703,0.04183825 179.9963 90.0002,0 0.4569855 -0.0001831055,0.04183442 179.9963 1.203185E-05
2024-07-24 14:42:36.557,16,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.027753E-06 0.0001811868 -2.598673E-05,0 0.1649933 0,359.9707 0.0001687521 90.00014,0 0.2749786 -6.103516E-05,359.9707 -0.003485142 -4.507024E-05,0 0.2749786 -6.103516E-05,0.04183324 179.9967 90.00024,0 0.4009705 -0.0001220703,0.04182686 179.9964 3.252402E-05,0 0.4009857 -0.0001220703,0.04183825 179.9963 90.0002,0 0.4569855 -0.0001831055,0.04183442 179.9963 1.203185E-05
2024-07-24 14:42:36.562,17,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.027753E-06 0.0001811868 -2.598673E-05,0 0.1649933 0,359.9707 0.0001687521 90.00014,0 0.2749786 -6.103516E-05,359.9707 -0.003485142 -4.507024E-05,0 0.2749786 -6.103516E-05,0.04183324 179.9967 90.00024,0 0.4009705 -0.0001220703,0.04182686 179.9964 3.252402E-05,0 0.4009857 -0.0001220703,0.04183825 179.9963 90.0002,0 0.4569855 -0.0001831055,0.04183442 179.9963 1.203185E-05
2024-07-24 14:42:36.568,18,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.027753E-06 0.0001811868 -2.598673E-05,0 0.1649933 0,359.9707 0.0001687521 90.00014,0 0.2749786 -6.103516E-05,359.9707 -0.003485142 -4.507024E-05,0 0.2749786 -6.103516E-05,0.04183324 179.9967 90.00024,0 0.4009705 -0.0001220703,0.04182686 179.9964 3.252402E-05,0 0.4009857 -0.0001220703,0.04183825 179.9963 90.0002,0 0.4569855 -0.0001831055,0.04183442 179.9963 1.203185E-05
2024-07-24 14:42:36.574,19,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.967723E-06 0.0002427852 -1.959343E-05,0 0.1649933 0,359.9645 0.0002303989 90.00014,0 0.2749786 -6.103516E-05,359.9645 -0.004172118 -2.778717E-05,0 0.2749786 -6.103516E-05,0.05064064 179.996 90.00022,0 0.4009705 -0.0001831055,0.05063403 179.9956 2.599294E-05,0 0.4009857 -0.0001831055,0.05064836 179.9956 90.00021,0 0.4569855 -0.0002441406,0.05064439 179.9956 -4.743892E-06
2024-07-24 14:42:36.578,20,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.967723E-06 0.0002427852 -1.959343E-05,0 0.1649933 0,359.9645 0.0002303989 90.00014,0 0.2749786 -6.103516E-05,359.9645 -0.004172118 -2.778717E-05,0 0.2749786 -6.103516E-05,0.05064064 179.996 90.00022,0 0.4009705 -0.0001831055,0.05063403 179.9956 2.599294E-05,0 0.4009857 -0.0001831055,0.05064836 179.9956 90.00021,0 0.4569855 -0.0002441406,0.05064439 179.9956 -4.743892E-06
2024-07-24 14:42:36.582,21,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.967723E-06 0.0002427852 -1.959343E-05,0 0.1649933 0,359.9645 0.0002303989 90.00014,0 0.2749786 -6.103516E-05,359.9645 -0.004172118 -2.778717E-05,0 0.2749786 -6.103516E-05,0.05064064 179.996 90.00022,0 0.4009705 -0.0001831055,0.05063403 179.9956 2.599294E-05,0 0.4009857 -0.0001831055,0.05064836 179.9956 90.00021,0 0.4569855 -0.0002441406,0.05064439 179.9956 -4.743892E-06
