2024-09-18 13:04:19.743989,11,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:19.764578,12,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:19.784165,13,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:19.803803,14,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:19.822669,15,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:19.841064,16,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:19.859792,17,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:19.879782,18,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:19.897966,19,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:19.917039,20,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
