2024-09-20 12:22:31.930096,12,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00011 328.66770 -0.00004,0.00000 0.16500 0.00000,359.92960 328.66770 90.00011,0.00007 0.27500 -0.00011,359.92960 329.53920 -0.00117,0.00007 0.27500 -0.00011,0.12201 149.53940 90.00138,0.00021 0.40100 -0.00034,0.12200 149.76280 0.00165,0.00021 0.40100 -0.00034,0.12924 149.76280 90.00186,0.00028 0.45700 -0.00045,0.12924 149.76280 0.00167,0.00224 0.29146 0.09961,323.34830 305.43610 109.38770,-0.00013 0.04558 0.00001,3.43542 5.50956 90.16535
2024-09-20 12:22:31.933612,13,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00011 328.66770 -0.00004,0.00000 0.16500 0.00000,359.92960 328.66770 90.00011,0.00007 0.27500 -0.00011,359.92960 329.53920 -0.00117,0.00007 0.27500 -0.00011,0.12201 149.53940 90.00138,0.00021 0.40100 -0.00034,0.12200 149.76280 0.00165,0.00021 0.40100 -0.00034,0.12924 149.76280 90.00186,0.00028 0.45700 -0.00045,0.12924 149.76280 0.00167,0.00224 0.29146 0.09961,323.34830 305.43610 109.38770,-0.00013 0.04558 0.00001,3.43542 5.50956 90.16535
2024-09-20 12:22:31.938635,14,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00011 328.66770 -0.00004,0.00000 0.16500 0.00000,359.92960 328.66770 90.00011,0.00007 0.27500 -0.00011,359.92960 329.53920 -0.00117,0.00007 0.27500 -0.00011,0.12201 149.53940 90.00138,0.00021 0.40100 -0.00034,0.12200 149.76280 0.00165,0.00021 0.40100 -0.00034,0.12924 149.76280 90.00186,0.00028 0.45700 -0.00045,0.12924 149.76280 0.00167,0.00248 0.29147 0.09981,323.10230 305.68260 109.42350,-0.00001 0.04546 -0.00001,3.41058 5.48614 90.16346
2024-09-20 12:22:31.944154,15,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00011 328.66770 -0.00004,0.00000 0.16500 0.00000,359.92960 328.66770 90.00011,0.00007 0.27500 -0.00011,359.92960 329.53920 -0.00117,0.00007 0.27500 -0.00011,0.12201 149.53940 90.00138,0.00021 0.40100 -0.00034,0.12200 149.76280 0.00165,0.00021 0.40100 -0.00034,0.12924 149.76280 90.00186,0.00028 0.45700 -0.00045,0.12924 149.76280 0.00167,0.00248 0.29147 0.09981,323.10230 305.68260 109.42350,-0.00001 0.04546 -0.00001,3.41058 5.48614 90.16346
2024-09-20 12:22:31.948163,16,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.79090 -0.00004,0.00000 0.16500 0.00000,359.92790 327.79090 90.00011,0.00008 0.27500 -0.00012,359.92800 328.25770 -0.00067,0.00008 0.27500 -0.00012,0.11448 148.25780 90.00087,0.00021 0.40100 -0.00033,0.11448 148.37820 0.00092,0.00021 0.40100 -0.00033,0.11841 148.37820 90.00113,0.00027 0.45700 -0.00043,0.11841 148.37820 0.00095,0.00249 0.29147 0.09980,323.12170 305.67980 109.41400,-0.00011 0.04553 -0.00011,3.41961 5.56920 90.16637
2024-09-20 12:22:31.963839,17,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.79090 -0.00004,0.00000 0.16500 0.00000,359.92790 327.79090 90.00011,0.00008 0.27500 -0.00012,359.92800 328.25770 -0.00067,0.00008 0.27500 -0.00012,0.11448 148.25780 90.00087,0.00021 0.40100 -0.00033,0.11448 148.37820 0.00092,0.00021 0.40100 -0.00033,0.11841 148.37820 90.00113,0.00027 0.45700 -0.00043,0.11841 148.37820 0.00095,0.00249 0.29147 0.09980,323.12170 305.67980 109.41400,-0.00011 0.04553 -0.00011,3.41961 5.56920 90.16637
2024-09-20 12:22:31.967854,18,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.90420 -0.00004,0.00000 0.16500 0.00000,359.93120 327.90410 90.00012,0.00007 0.27500 -0.00011,359.93120 328.25380 -0.00050,0.00007 0.27500 -0.00011,0.10700 148.25390 90.00072,0.00020 0.40100 -0.00031,0.10699 148.34440 0.00068,0.00020 0.40100 -0.00031,0.10996 148.34440 90.00091,0.00025 0.45700 -0.00040,0.10995 148.34440 0.00070,0.00249 0.29147 0.09980,323.12170 305.67980 109.41400,-0.00011 0.04553 -0.00011,3.41961 5.56920 90.16637
2024-09-20 12:22:31.970363,19,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.90420 -0.00004,0.00000 0.16500 0.00000,359.93120 327.90410 90.00012,0.00007 0.27500 -0.00011,359.93120 328.25380 -0.00050,0.00007 0.27500 -0.00011,0.10700 148.25390 90.00072,0.00020 0.40100 -0.00031,0.10699 148.34440 0.00068,0.00020 0.40100 -0.00031,0.10996 148.34440 90.00091,0.00025 0.45700 -0.00040,0.10995 148.34440 0.00070,0.00249 0.29147 0.09980,323.12170 305.67980 109.41400,-0.00011 0.04553 -0.00011,3.41961 5.56920 90.16637
2024-09-20 12:22:31.972369,20,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.90420 -0.00004,0.00000 0.16500 0.00000,359.93120 327.90410 90.00012,0.00007 0.27500 -0.00011,359.93120 328.25380 -0.00050,0.00007 0.27500 -0.00011,0.10700 148.25390 90.00072,0.00020 0.40100 -0.00031,0.10699 148.34440 0.00068,0.00020 0.40100 -0.00031,0.10996 148.34440 90.00091,0.00025 0.45700 -0.00040,0.10995 148.34440 0.00070,0.00246 0.29146 0.09983,323.15560 305.66260 109.40220,-0.00015 0.04556 0.00001,3.41833 5.52814 90.16509
2024-09-20 12:22:31.973368,21,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.90420 -0.00004,0.00000 0.16500 0.00000,359.93120 327.90410 90.00012,0.00007 0.27500 -0.00011,359.93120 328.25380 -0.00050,0.00007 0.27500 -0.00011,0.10700 148.25390 90.00072,0.00020 0.40100 -0.00031,0.10699 148.34440 0.00068,0.00020 0.40100 -0.00031,0.10996 148.34440 90.00091,0.00025 0.45700 -0.00040,0.10995 148.34440 0.00070,0.00246 0.29146 0.09983,323.15560 305.66260 109.40220,-0.00015 0.04556 0.00001,3.41833 5.52814 90.16509
2024-09-20 12:22:31.975892,22,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.90420 -0.00004,0.00000 0.16500 0.00000,359.93120 327.90410 90.00012,0.00007 0.27500 -0.00011,359.93120 328.25380 -0.00050,0.00007 0.27500 -0.00011,0.10700 148.25390 90.00072,0.00020 0.40100 -0.00031,0.10699 148.34440 0.00068,0.00020 0.40100 -0.00031,0.10996 148.34440 90.00091,0.00025 0.45700 -0.00040,0.10995 148.34440 0.00070,0.00246 0.29146 0.09983,323.15560 305.66260 109.40220,-0.00015 0.04556 0.00001,3.41833 5.52814 90.16509
2024-09-20 12:22:31.979977,23,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.90420 -0.00004,0.00000 0.16500 0.00000,359.93120 327.90410 90.00012,0.00007 0.27500 -0.00011,359.93120 328.25380 -0.00050,0.00007 0.27500 -0.00011,0.10700 148.25390 90.00072,0.00020 0.40100 -0.00031,0.10699 148.34440 0.00068,0.00020 0.40100 -0.00031,0.10996 148.34440 90.00091,0.00025 0.45700 -0.00040,0.10995 148.34440 0.00070,0.00246 0.29146 0.09983,323.15560 305.66260 109.40220,-0.00015 0.04556 0.00001,3.41833 5.52814 90.16509
2024-09-20 12:22:31.991019,24,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.26980 -0.00004,0.00000 0.16500 0.00000,359.93270 327.26980 90.00011,0.00007 0.27500 -0.00011,359.93270 327.59290 -0.00047,0.00007 0.27500 -0.00011,0.10414 147.59300 90.00067,0.00020 0.40100 -0.00030,0.10413 147.67670 0.00063,0.00020 0.40100 -0.00030,0.10688 147.67670 90.00085,0.00025 0.45700 -0.00039,0.10688 147.67670 0.00065,0.00247 0.29147 0.09982,323.14480 305.65450 109.41150,0.00000 0.04551 0.00000,3.43117 5.49028 90.16457
2024-09-20 12:22:31.995726,25,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.26980 -0.00004,0.00000 0.16500 0.00000,359.93270 327.26980 90.00011,0.00007 0.27500 -0.00011,359.93270 327.59290 -0.00047,0.00007 0.27500 -0.00011,0.10414 147.59300 90.00067,0.00020 0.40100 -0.00030,0.10413 147.67670 0.00063,0.00020 0.40100 -0.00030,0.10688 147.67670 90.00085,0.00025 0.45700 -0.00039,0.10688 147.67670 0.00065,0.00247 0.29147 0.09982,323.14480 305.65450 109.41150,0.00000 0.04551 0.00000,3.43117 5.49028 90.16457
2024-09-20 12:22:31.997735,26,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.26980 -0.00004,0.00000 0.16500 0.00000,359.93270 327.26980 90.00011,0.00007 0.27500 -0.00011,359.93270 327.59290 -0.00047,0.00007 0.27500 -0.00011,0.10414 147.59300 90.00067,0.00020 0.40100 -0.00030,0.10413 147.67670 0.00063,0.00020 0.40100 -0.00030,0.10688 147.67670 90.00085,0.00025 0.45700 -0.00039,0.10688 147.67670 0.00065,0.00243 0.29147 0.09982,323.19140 305.66650 109.38080,-0.00015 0.04559 0.00003,3.45172 5.53445 90.16689
2024-09-20 12:22:32.001762,27,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.26980 -0.00004,0.00000 0.16500 0.00000,359.93270 327.26980 90.00011,0.00007 0.27500 -0.00011,359.93270 327.59290 -0.00047,0.00007 0.27500 -0.00011,0.10414 147.59300 90.00067,0.00020 0.40100 -0.00030,0.10413 147.67670 0.00063,0.00020 0.40100 -0.00030,0.10688 147.67670 90.00085,0.00025 0.45700 -0.00039,0.10688 147.67670 0.00065,0.00243 0.29147 0.09982,323.19140 305.66650 109.38080,-0.00015 0.04559 0.00003,3.45172 5.53445 90.16689
2024-09-20 12:22:32.003795,28,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.26980 -0.00004,0.00000 0.16500 0.00000,359.93270 327.26980 90.00011,0.00007 0.27500 -0.00011,359.93270 327.59290 -0.00047,0.00007 0.27500 -0.00011,0.10414 147.59300 90.00067,0.00020 0.40100 -0.00030,0.10413 147.67670 0.00063,0.00020 0.40100 -0.00030,0.10688 147.67670 90.00085,0.00025 0.45700 -0.00039,0.10688 147.67670 0.00065,0.00243 0.29147 0.09982,323.19140 305.66650 109.38080,-0.00015 0.04559 0.00003,3.45172 5.53445 90.16689
2024-09-20 12:22:32.005953,29,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00012 327.26980 -0.00004,0.00000 0.16500 0.00000,359.93270 327.26980 90.00011,0.00007 0.27500 -0.00011,359.93270 327.59290 -0.00047,0.00007 0.27500 -0.00011,0.10414 147.59300 90.00067,0.00020 0.40100 -0.00030,0.10413 147.67670 0.00063,0.00020 0.40100 -0.00030,0.10688 147.67670 90.00085,0.00025 0.45700 -0.00039,0.10688 147.67670 0.00065,0.00243 0.29147 0.09982,323.19140 305.66650 109.38080,-0.00015 0.04559 0.00003,3.45172 5.53445 90.16689
2024-09-20 12:22:32.009525,30,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00016 314.47960 -0.00006,0.00000 0.16500 0.00000,359.91860 314.47960 90.00008,0.00011 0.27500 -0.00011,359.91860 315.35780 -0.00136,0.00011 0.27500 -0.00011,0.13790 135.35790 90.00156,0.00033 0.40100 -0.00032,0.13789 135.58330 0.00192,0.00033 0.40100 -0.00032,0.14521 135.58330 90.00214,0.00043 0.45700 -0.00042,0.14521 135.58330 0.00195,0.00243 0.29147 0.09982,323.19140 305.66650 109.38080,-0.00015 0.04559 0.00003,3.45172 5.53445 90.16689
