[;2025-10-03 17:04:46.448800;['-4.533579e-12', ' 1.6633738e-08', ' 1.2510238e-08', ' -1.38312e-13', ' 3.9489348e-17', ' 3.3014678e-19']
[;2025-10-03 17:04:46.576797;['1.7470607', ' -1.3597387', ' -0.27423555', ' 0.061069958', ' 0.0012900512', ' 0.1763315']
[;2025-10-03 17:04:46.680795;['1.7470607', ' -1.3597354', ' -0.2742347', ' 0.061069958', ' 0.0012900512', ' 0.1763315']
[;2025-10-03 17:04:46.820857;['1.7470607', ' -1.3597316', ' -0.27423376', ' 0.061069958', ' 0.0012900512', ' 0.1763315']
[;2025-10-03 17:04:46.932793;['1.7827233', ' -1.3485379', ' -0.29279262', ' 0.069227055', ' -8.376836e-06', ' 0.21198104']
[;2025-10-03 17:04:47.064794;['1.7827233', ' -1.3485347', ' -0.2927918', ' 0.069227055', ' -8.376836e-06', ' 0.21198104']
[;2025-10-03 17:04:47.184914;['1.7827233', ' -1.3485309', ' -0.29279086', ' 0.069227055', ' -8.376836e-06', ' 0.21198104']
[;2025-10-03 17:04:47.296802;['1.7827233', ' -1.3485276', ' -0.29279003', ' 0.069227055', ' -8.376836e-06', ' 0.21198104']
[;2025-10-03 17:04:47.416786;['1.817933', ' -1.3483064', ' -0.2934233', ' 0.06974721', ' 6.394419e-05', ' 0.24745452']
[;2025-10-03 17:04:47.532785;['1.817933', ' -1.3483033', ' -0.29342243', ' 0.06974721', ' 6.394419e-05', ' 0.24745452']
[;2025-10-03 17:04:47.648785;['1.817933', ' -1.3483', ' -0.2934216', ' 0.06974721', ' 6.394419e-05', ' 0.24745452']
[;2025-10-03 17:04:47.784806;['1.817933', ' -1.3482962', ' -0.29342064', ' 0.06974721', ' 6.394419e-05', ' 0.24745452']
[;2025-10-03 17:04:47.896789;['1.817933', ' -1.3482928', ' -0.2934198', ' 0.06974721', ' 6.394419e-05', ' 0.24745452']
[;2025-10-03 17:04:48.016787;['1.8529208', ' -1.3575939', ' -0.27515092', ' 0.06223583', ' -0.00059757766', ' 0.28212392']
[;2025-10-03 17:04:48.148792;['1.8529208', ' -1.3575901', ' -0.27514997', ' 0.06223583', ' -0.00059757766', ' 0.28212392']
[;2025-10-03 17:04:48.264785;['1.8529208', ' -1.3575867', ' -0.27514914', ' 0.06223583', ' -0.00059757766', ' 0.28212392']
[;2025-10-03 17:04:48.400784;['1.8529208', ' -1.3575829', ' -0.27514818', ' 0.06223583', ' -0.00059757766', ' 0.28212392']
[;2025-10-03 17:04:48.516784;['1.7168953', ' -1.1700729', ' -0.6674431', ' 0.26764312', ' 7.38843e-05', ' 0.1464476']
[;2025-10-03 17:04:48.632801;['1.7168953', ' -1.1700696', ' -0.6674419', ' 0.26764312', ' 7.38843e-05', ' 0.1464476']
[;2025-10-03 17:04:48.764796;['1.7168953', ' -1.1700658', ' -0.6674405', ' 0.26764312', ' 7.38843e-05', ' 0.1464476']
[;2025-10-03 17:04:48.884790;['1.7168953', ' -1.1700624', ' -0.6674392', ' 0.26764312', ' 7.38843e-05', ' 0.1464476']
[;2025-10-03 17:04:49.016788;['1.7539299', ' -1.160366', ' -0.6903', ' 0.27952716', ' -0.00043704698', ' 0.18311709']
[;2025-10-03 17:04:49.132800;['1.7539299', ' -1.1603628', ' -0.69029874', ' 0.27952716', ' -0.00043704698', ' 0.18311709']
[;2025-10-03 17:04:49.264791;['1.7539299', ' -1.160359', ' -0.6902973', ' 0.27952716', ' -0.00043704698', ' 0.18311709']
[;2025-10-03 17:04:49.380790;['1.7539299', ' -1.1603557', ' -0.69029605', ' 0.27952716', ' -0.00043704698', ' 0.18311709']
[;2025-10-03 17:04:49.500792;['1.7908162', ' -1.1550568', ' -0.70225567', ' 0.2867788', ' -0.0011444805', ' 0.22032604']
[;2025-10-03 17:04:49.620804;['1.7908162', ' -1.1550541', ' -0.70225435', ' 0.2867788', ' -0.0011444805', ' 0.22032604']
[;2025-10-03 17:04:49.748797;['1.7908162', ' -1.1550503', ' -0.7022529', ' 0.2867788', ' -0.0011444805', ' 0.22032604']
[;2025-10-03 17:04:49.868791;['1.7908162', ' -1.1550469', ' -0.7022517', ' 0.2867788', ' -0.0011444805', ' 0.22032604']
[;2025-10-03 17:04:50.000794;['1.8272758', ' -1.1552664', ' -0.70153415', ' 0.2858647', ' -0.000932073', ' 0.25586653']
[;2025-10-03 17:04:50.136789;['1.8272758', ' -1.1552652', ' -0.7015342', ' 0.2858647', ' -0.000932073', ' 0.25586653']
[;2025-10-03 17:04:50.256797;['1.8272758', ' -1.1552619', ' -0.70153296', ' 0.2858647', ' -0.000932073', ' 0.25586653']
[;2025-10-03 17:04:50.388790;['1.8272758', ' -1.155258', ' -0.7015315', ' 0.2858647', ' -0.000932073', ' 0.25586653']
[;2025-10-03 17:04:50.500890;['1.8272758', ' -1.1552547', ' -0.7015303', ' 0.2858647', ' -0.000932073', ' 0.25586653']
[;2025-10-03 17:04:50.616832;['1.863317', ' -1.160213', ' -0.69164044', ' 0.28132656', ' -0.00040454892', ' 0.2924709']
[;2025-10-03 17:04:50.736792;['1.863317', ' -1.1602097', ' -0.6916392', ' 0.28132656', ' -0.00040454892', ' 0.2924709']
