-0.039999999999999994, 0.17502056599432367, 0.09805;(0.004197363165753747, 0.0013011959977035914, 0.0019102267830971853)
-0.03, 0.17502056599432367, 0.09805;(-0.001830056484581448, -0.0005497813332897838, 0.0008331322306467243)
-0.020000000000000004, 0.17502056599432367, 0.09805;(0.0009657783141219616, -0.00015446693111009768, 0.0008486997409993119)
-0.009999999999999995, 0.17502056599432367, 0.09805;(0.001403317732545626, 0.00011707945722291835, 0.001002145836082588)
0.0, 0.17502056599432367, 0.09805;(0.00184913573441086, -0.0010854464576725842, 0.0003065009154092635)
0.010000000000000002, 0.17502056599432367, 0.09805;(0.001500200969065172, -0.0009073454023289795, 0.0003085317020159739)
0.020000000000000004, 0.17502056599432367, 0.09805;(0.0012380597458896102, 5.2842406402214825e-05, 0.00041865124806240994)
0.030000000000000002, 0.17502056599432367, 0.09805;(0.0009860490812457524, 0.0020150345633620226, 0.001349001992969029)
0.04, 0.17502056599432367, 0.09805;(0.0012451559871334422, 0.001966628700809492, 0.0015871544392802445)
0.05, 0.17502056599432367, 0.09805;(0.011310478530782923, 0.0019978010117343015, 0.001576300318581525)
-0.039999999999999994, 0.18502056599432365, 0.09805;(-0.003424215945709831, 0.0017250491312704452, 0.001601041064847722)
-0.03, 0.18502056599432365, 0.09805;(0.0011647114220862918, 0.00011808620697748018, 0.001239160534667702)
-0.020000000000000004, 0.18502056599432365, 0.09805;(0.001070797030972792, 0.000268923777890423, 0.001217087567767977)
-0.009999999999999995, 0.18502056599432365, 0.09805;(0.0015078193511164767, 6.904823497647095e-05, 0.0012384498501364916)
0.0, 0.18502056599432365, 0.09805;(0.001329028797666144, 0.00039300070324907455, 0.0012482279903875126)
0.010000000000000002, 0.18502056599432365, 0.09805;(0.001093374236618207, 0.0005139544810734142, 0.001256440686664903)
0.020000000000000004, 0.18502056599432365, 0.09805;(0.0009048213423905951, 0.0013370304204658179, 0.0012331197359372048)
0.030000000000000002, 0.18502056599432365, 0.09805;(0.0009710085182629939, 0.00216019909175752, 0.0015282383298522023)
0.04, 0.18502056599432365, 0.09805;(0.0011747134625280237, 0.0020242016941184604, 0.001430043293392566)
0.05, 0.18502056599432365, 0.09805;(0.0013920562076102788, 0.002290309074958863, 0.001795192605561019)
