-0.039999999999999994, 0.17502056599432367, 0.09805;(0.0020647304840275132, 0.002188601796152767, 0.006729137351156281)
-0.03, 0.17502056599432367, 0.09805;(-0.0898698987969644, 0.10208138469223285, -0.004676281792821417)
-0.020000000000000004, 0.17502056599432367, 0.09805;(-0.05754917666123936, 0.1057369674942838, 0.014135420908178792)
-0.009999999999999995, 0.17502056599432367, 0.09805;(-0.0021647738568748784, 0.008874389524251985, 0.006264317453688842)
0.0, 0.17502056599432367, 0.09805;(0.0010674372084298355, 0.0034733783158914233, 0.0028499692442242597)
0.010000000000000002, 0.17502056599432367, 0.09805;(0.0012682324252155184, 0.0028624321526553864, 0.002301254541224665)
0.020000000000000004, 0.17502056599432367, 0.09805;(0.0014067889591630953, 0.0031806653208783786, 0.00208644487694562)
0.030000000000000002, 0.17502056599432367, 0.09805;(0.0018887691562688921, 0.0025763491635597824, 0.0018596804312271537)
0.04, 0.17502056599432367, 0.09805;(0.0021249559368392706, 0.002821034140858214, 0.0023322481459717714)
0.05, 0.17502056599432367, 0.09805;(0.0021682449670064816, 0.003267225503408966, 0.002529971104380954)
-0.039999999999999994, 0.18502056599432365, 0.09805;(-0.002943876716274177, 0.002853705839203663, 0.0023920173211435525)
-0.03, 0.18502056599432365, 0.09805;(0.0013920464186103765, 0.001180138594172847, 0.002033448280726796)
-0.020000000000000004, 0.18502056599432365, 0.09805;(0.001851114709806409, 0.0015425920823157468, 0.0021169508281782545)
-0.009999999999999995, 0.18502056599432365, 0.09805;(0.0020005794439113024, 0.0014198594182243396, 0.002139216434298097)
0.0, 0.18502056599432365, 0.09805;(0.0020101639698645365, 0.0014117319732033506, 0.0020290379515209983)
0.010000000000000002, 0.18502056599432365, 0.09805;(0.001829722951342998, 0.001493483806161905, 0.002037228462078461)
0.020000000000000004, 0.18502056599432365, 0.09805;(0.0016941619577120343, 0.0022745211123590126, 0.0020140036380454085)
0.030000000000000002, 0.18502056599432365, 0.09805;(0.0018105587762836418, 0.0030540119885973938, 0.0023114930282698565)
0.04, 0.18502056599432365, 0.09805;(0.002348620258353938, 0.002810270532203424, 0.0022225896935349487)
0.05, 0.18502056599432365, 0.09805;(0.0026860871630414312, 0.002194219029822142, 0.0018287123968808716)
-0.039999999999999994, 0.19502056599432366, 0.09805;(-0.001973859997567745, 0.002724679880051678, 0.002169973507554268)
-0.03, 0.19502056599432366, 0.09805;(0.0007002639603676912, 0.0014908146789612553, 0.0022215731252561988)
-0.020000000000000004, 0.19502056599432366, 0.09805;(0.001533753896715423, 0.001352782668142899, 0.0021896526387673865)
-0.009999999999999995, 0.19502056599432366, 0.09805;(0.002234457480242494, 0.001491772885698156, 0.002430702050125258)
0.0, 0.19502056599432366, 0.09805;(0.002084173655548535, 0.0014870186257926465, 0.002445766552915868)
0.010000000000000002, 0.19502056599432366, 0.09805;(0.0018946267518363535, 0.0016222782887690967, 0.002449810616566739)
0.020000000000000004, 0.19502056599432366, 0.09805;(0.0018659911181063728, 0.002332650994456814, 0.0024347635020816327)
0.030000000000000002, 0.19502056599432366, 0.09805;(0.0019299526691615165, 0.002843556361479649, 0.002435460495695388)
