0,['-4.533579e-12', '1.6633738e-08', '1.2510238e-08', '-1.38312e-13', '3.9489348e-17', '3.3014678e-19'](-0.004936712017667256, 0.2738224753241505, 0.09467755771659962)
40,['1.7539833', '-1.1602353', '-0.69086754', '0.28027776', '-0.000806946', '0.18356632'](0.015051551666867558, 0.2738812467989744, 0.09470686637873535)
41,['1.7539833', '-1.1602348', '-0.69086736', '0.28027776', '-0.000806946', '0.18356632'](0.015051509647093389, 0.27388130442745706, 0.09470698558826528)
42,['1.7539833', '-1.1602343', '-0.6908672', '0.28027776', '-0.000806946', '0.18356632'](0.015051487360123884, 0.27388137495638737, 0.09470714950074695)
43,['1.7907897', '-1.1550758', '-0.70204806', '0.2864582', '-0.0009881085', '0.2197039'](0.015051474135556873, 0.27388141417815487, 0.09470729851245273)
44,['1.7907897', '-1.1550802', '-0.70205104', '0.2864582', '-0.0009881085', '0.2197039'](0.005060062291580431, 0.27389030088699023, 0.09468533027000164)
45,['1.7907897', '-1.1550804', '-0.70205116', '0.2864582', '-0.0009881085', '0.2197039'](0.005060238647841492, 0.27388940699908243, 0.09468363147981813)
46,['1.7907897', '-1.1550803', '-0.702051', '0.2864582', '-0.0009881085', '0.2197039'](0.005060238647841492, 0.27388940699908243, 0.09468363147981813)
47,['1.7907897', '-1.1550798', '-0.7020508', '0.2864582', '-0.0009881085', '0.2197039'](0.005060238647841492, 0.27388940699908243, 0.09468363147981813)
48,['1.7907897', '-1.1550794', '-0.7020506', '0.2864582', '-0.0009881085', '0.2197039'](0.005060230211859288, 0.27388951617531754, 0.09468378049714413)
49,['1.7907897', '-1.1550789', '-0.70205045', '0.2864582', '-0.0009881085', '0.2197039'](0.005060239739302214, 0.2738895417521529, 0.09468386990379143)
50,['1.8272592', '-1.1553199', '-0.7013859', '0.28571168', '-0.00084602815', '0.25603247'](0.005060195813358136, 0.27388963488439266, 0.0946841530404962)
51,['1.8272592', '-1.155321', '-0.7013868', '0.28571168', '-0.00084602815', '0.25603247'](-0.004944894914023281, 0.2738749941841157, 0.0946750259416927)
52,['1.8272592', '-1.1553209', '-0.70138675', '0.28571168', '-0.00084602815', '0.25603247'](-0.004944853410174255, 0.2738747629316179, 0.09467457892629791)
53,['1.8272592', '-1.1553205', '-0.7013866', '0.28571168', '-0.00084602815', '0.25603247'](-0.004944848422671262, 0.2738748142135987, 0.09467466832594332)
54,['1.8272592', '-1.15532', '-0.7013864', '0.28571168', '-0.00084602815', '0.25603247'](-0.004944848422671262, 0.2738748142135987, 0.09467466832594332)
55,['1.8272592', '-1.1553196', '-0.7013862', '0.28571168', '-0.00084602815', '0.25603247'](-0.004944863487135357, 0.27387494858598643, 0.09467496634694611)
56,['1.8272592', '-1.1553191', '-0.70138603', '0.28571168', '-0.00084602815', '0.25603247'](-0.004944903543461572, 0.2738749764769034, 0.09467505573603277)
57,['1.8633438', '-1.1601808', '-0.691927', '0.2817641', '-0.0005651135', '0.29236767'](-0.004944911527960102, 0.27387505503163684, 0.09467523454696229)
58,['1.8633438', '-1.1601735', '-0.69192135', '0.2817641', '-0.0005651135', '0.29236767'](-0.01497394809739239, 0.27390246760521425, 0.09465496162490358)
59,['1.8633438', '-1.1601729', '-0.69192094', '0.2817641', '-0.0005651135', '0.29236767'](-0.014974380775916974, 0.27390386249398013, 0.09465779322654486)
