0,['-4.533579e-12', '1.6633738e-08', '1.2510238e-08', '-1.38312e-13', '3.9489348e-17', '3.3014678e-19'](-0.004936712017667256, 0.2738224753241505, 0.09467755771659962)
173,['1.7115675', '-1.4088476', '-0.27012622', '0.11017047', '0.00061068166', '0.14081597'](0.024938088865713474, 0.28400290605282114, 0.08478646387025329)
174,['1.7115675', '-1.4088473', '-0.2701262', '0.11017047', '0.00061068166', '0.14081597'](0.024938075518313653, 0.28400298459001866, 0.08478662787856253)
175,['1.7115675', '-1.4088469', '-0.27012607', '0.11017047', '0.00061068166', '0.14081597'](0.02493804236127162, 0.28400301165907027, 0.08478676205138728)
176,['1.7474345', '-1.3870691', '-0.31650636', '0.13382709', '-0.0009567798', '0.17676897'](0.024938081521764324, 0.2840030594241633, 0.08478683658109665)
177,['1.7474345', '-1.3870955', '-0.31652588', '0.13382709', '-0.0009567798', '0.17676897'](0.015045259480724365, 0.2839558244441232, 0.08474117766563034)
178,['1.7474345', '-1.3870969', '-0.3165271', '0.13382709', '-0.0009567798', '0.17676897'](0.01504616906179832, 0.2839507716570038, 0.08473041593936172)
179,['1.7474345', '-1.3870969', '-0.31652713', '0.13382709', '-0.0009567798', '0.17676897'](0.015046192841070295, 0.2839505437105243, 0.08472990916262829)
180,['1.7474345', '-1.3870965', '-0.316527', '0.13382709', '-0.0009567798', '0.17676897'](0.015046192841070295, 0.2839505437105243, 0.08472990916262829)
181,['1.7474345', '-1.387096', '-0.3165269', '0.13382709', '-0.0009567798', '0.17676897'](0.015046204294571836, 0.2839505654476811, 0.0847299985870421)
182,['1.7474345', '-1.3870956', '-0.3165268', '0.13382709', '-0.0009567798', '0.17676897'](0.015046187836205902, 0.28395064891987254, 0.08473020725754422)
183,['1.7827389', '-1.3793341', '-0.33158207', '0.13894533', '-3.8626713e-05', '0.21166682'](0.01504617923229744, 0.2839506663355116, 0.08473029668723008)
184,['1.7827389', '-1.3793513', '-0.33159506', '0.13894533', '-3.8626673e-05', '0.21166682'](0.0050157285942595, 0.28379961645798096, 0.08471935720972328)
185,['1.7827389', '-1.3793523', '-0.33159587', '0.13894533', '-3.8626673e-05', '0.21166682'](0.005016426165138171, 0.2837962301167733, 0.0847123560067922)
186,['1.7827389', '-1.379352', '-0.3315958', '0.13894533', '-3.8626673e-05', '0.21166682'](0.005016470423727803, 0.2837960637681544, 0.08471196870858863)
187,['1.7827389', '-1.3793515', '-0.33159566', '0.13894533', '-3.8626673e-05', '0.21166682'](0.0050164746284729585, 0.2837960505799051, 0.08471204319359156)
188,['1.7827389', '-1.379351', '-0.33159557', '0.13894533', '-3.8626673e-05', '0.21166682'](0.0050164623058768995, 0.2837961597631128, 0.08471213257559096)
189,['1.7827389', '-1.3793505', '-0.33159548', '0.13894533', '-3.8626673e-05', '0.21166682'](0.005016443993285808, 0.2837962079211143, 0.08471229642924097)
190,['1.8179451', '-1.3793129', '-0.33212242', '0.1394937', '-2.0204356e-05', '0.24752218'](0.005016434010598515, 0.2837962620281364, 0.0847125347828142)
191,['1.8179451', '-1.379313', '-0.33212245', '0.1394937', '-2.0204356e-05', '0.24752218'](-0.004981223902833649, 0.283795580999855, 0.08467436841303404)
192,['1.8179451', '-1.3793125', '-0.3321223', '0.1394937', '-2.0204356e-05', '0.24752218'](-0.004981223902833649, 0.283795580999855, 0.08467436841303404)
193,['1.8179451', '-1.379312', '-0.3321222', '0.1394937', '-2.0204356e-05', '0.24752218'](-0.004981240764438507, 0.28379561286802296, 0.08467447268489631)
194,['1.8179451', '-1.3793116', '-0.33212212', '0.1394937', '-2.0204356e-05', '0.24752218'](-0.004981276641166499, 0.2837956996559401, 0.08467469613503083)
195,['1.8179451', '-1.3793111', '-0.33212203', '0.1394937', '-2.0204356e-05', '0.24752218'](-0.0049812892966653805, 0.28379576000908363, 0.08467481530670051)
196,['1.8179451', '-1.3793106', '-0.33212194', '0.1394937', '-2.0204356e-05', '0.24752218'](-0.004981302211343652, 0.2837957724004363, 0.08467487489550574)
197,['1.8527554', '-1.3880289', '-0.31500885', '0.13256389', '0.00040964095', '0.28166196'](-0.004981270192518398, 0.28379583461025587, 0.08467502387195133)
198,['1.8527554', '-1.3880135', '-0.31499758', '0.13256389', '0.00040964095', '0.28166196'](-0.015029588975897366, 0.2838698208525829, 0.08463495116582065)
199,['1.8527554', '-1.3880124', '-0.31499672', '0.13256389', '0.00040964095', '0.28166196'](-0.01503040195069522, 0.28387275523934147, 0.08464110592311154)
200,['1.8527554', '-1.388012', '-0.31499663', '0.13256389', '0.00040964095', '0.28166196'](-0.015030446564488363, 0.2838729231674211, 0.08464161260782688)
201,['1.8527554', '-1.3880116', '-0.31499654', '0.13256389', '0.00040964095', '0.28166196'](-0.015030468996635335, 0.28387297698220615, 0.08464170202942581)
202,['1.8527554', '-1.3880111', '-0.31499645', '0.13256389', '0.00040964095', '0.28166196'](-0.01503047750724457, 0.28387303536359204, 0.08464182124420368)
203,['1.8527554', '-1.3880106', '-0.31499636', '0.13256389', '0.00040964095', '0.28166196'](-0.01503050761596944, 0.2838730827981496, 0.08464200007581171)
204,['1.7166767', '-1.2128011', '-0.6854462', '0.32847634', '0.0013564698', '0.14623106'](-0.015030568440601268, 0.2838731933871641, 0.0846422087184525)
205,['1.7166767', '-1.2129651', '-0.6855694', '0.32847634', '0.0013564696', '0.14623106'](0.024887574020359602, 0.2740220441630477, 0.08508667567551108)
206,['1.7166767', '-1.2129755', '-0.6855772', '0.32847634', '0.0013564696', '0.14623106'](0.024892530834115092, 0.27398818474398084, 0.08502256939064387)
207,['1.7166767', '-1.2129762', '-0.6855777', '0.32847634', '0.0013564696', '0.14623106'](0.024892850551968188, 0.2739860505902671, 0.08501856013582362)
208,['1.7166767', '-1.2129767', '-0.6855775', '0.32847634', '0.0013564696', '0.14623106'](0.02489287305318244, 0.27398594546897304, 0.08501830674196115)
209,['1.7166767', '-1.2129762', '-0.6855774', '0.32847634', '0.0013564696', '0.14623106'](0.024892843878908475, 0.2739858703153194, 0.08501811300810681)
210,['1.7166767', '-1.2129757', '-0.6855772', '0.32847634', '0.0013564696', '0.14623106'](0.02489283985894722, 0.2739859767646781, 0.08501836637573013)
211,['1.7539479', '-1.2032716', '-0.7090503', '0.3414693', '-0.0005608126', '0.18348537'](0.02489283611468063, 0.2739860287007663, 0.08501847070338464)
212,['1.7539479', '-1.2032876', '-0.70906204', '0.3414693', '-0.0005608126', '0.18348537'](0.015034248521940793, 0.27387713949348647, 0.08471474793143548)
213,['1.7539479', '-1.2032884', '-0.7090627', '0.3414693', '-0.0005608126', '0.18348537'](0.01503487773950316, 0.2738738911501203, 0.08470854917603246)
214,['1.7539479', '-1.2032882', '-0.7090629', '0.3414693', '-0.0005608126', '0.18348537'](0.015034876539498407, 0.2738737080434074, 0.08470825115459177)
215,['1.7539479', '-1.2032878', '-0.7090627', '0.3414693', '-0.0005608126', '0.18348537'](0.015034928163852747, 0.2738736805256341, 0.08470819155334293)
216,['1.7539479', '-1.2032875', '-0.7090625', '0.3414693', '-0.0005608126', '0.18348537'](0.015034873099564595, 0.2738737549635481, 0.08470831075969937)
217,['1.7539479', '-1.2032871', '-0.70906234', '0.3414693', '-0.0005608126', '0.18348537'](0.015034862457360689, 0.2738738120493761, 0.0847084299645684)
218,['1.7908642', '-1.198391', '-0.7198449', '0.347407', '-0.0014359751', '0.21987137'](0.015034879306950195, 0.2738738829545011, 0.08470857897542877)
219,['1.7908642', '-1.1983955', '-0.7198483', '0.347407', '-0.0014359751', '0.21987137'](0.005089987905679845, 0.2738917152642207, 0.08468449504484006)
220,['1.7908642', '-1.1983956', '-0.71984845', '0.347407', '-0.0014359751', '0.21987137'](0.0050902112080273825, 0.27389076520277406, 0.08468272182514223)
221,['1.7908642', '-1.1983956', '-0.7198483', '0.347407', '-0.0014359751', '0.21987137'](0.005090223462303393, 0.27389070980734587, 0.08468261752330958)
222,['1.7908642', '-1.1983953', '-0.71984816', '0.347407', '-0.0014359751', '0.21987137'](0.005090223462303393, 0.27389070980734587, 0.08468261752330958)
223,['1.7908642', '-1.1983949', '-0.719848', '0.347407', '-0.0014359751', '0.21987137'](0.005090192595250292, 0.2738908220881208, 0.08468279632464344)
224,['1.7908642', '-1.1983945', '-0.7198478', '0.347407', '-0.0014359751', '0.21987137'](0.005090180621568302, 0.27389084475138853, 0.08468287083748911)
225,['1.8271108', '-1.19865', '-0.719221', '0.34681556', '4.4206914e-05', '0.25698456'](0.005090153702861895, 0.2738909736935927, 0.08468303473574208)
226,['1.8271108', '-1.1986505', '-0.7192214', '0.34681556', '4.4206914e-05', '0.25698456'](-0.0049996409694360805, 0.2738521816477749, 0.0846741047075807)
227,['1.8271108', '-1.1986508', '-0.7192213', '0.34681556', '4.4206914e-05', '0.25698456'](-0.0049995904168172066, 0.27385209924130727, 0.08467391100668212)
228,['1.8271108', '-1.1986504', '-0.7192212', '0.34681556', '4.4206914e-05', '0.25698456'](-0.004999633303381493, 0.27385211078401167, 0.08467391100343064)
229,['1.8271108', '-1.19865', '-0.719221', '0.34681556', '4.4206914e-05', '0.25698456'](-0.0049996375072746315, 0.2738521839344351, 0.08467397060431515)
230,['1.8271108', '-1.1986496', '-0.7192208', '0.34681556', '4.4206914e-05', '0.25698456'](-0.0049996409694360805, 0.2738521816477749, 0.0846741047075807)
231,['1.8271108', '-1.1986493', '-0.71922064', '0.34681556', '4.4206914e-05', '0.25698456'](-0.004999699039120798, 0.27385228927042865, 0.08467428350854062)
232,['1.8631781', '-1.2033336', '-0.7103965', '0.3438071', '0.00039658634', '0.29279226'](-0.004999687013787719, 0.27385234228460004, 0.084674372909455)
233,['1.8631781', '-1.2033242', '-0.7103895', '0.3438071', '0.00039658634', '0.29279226'](-0.015040699276845019, 0.27390980783352414, 0.08464899411735893)
234,['1.8631781', '-1.2033232', '-0.7103889', '0.3438071', '0.00039658634', '0.29279226'](-0.015041279882514004, 0.27391163281307623, 0.08465269054990013)
235,['1.8631781', '-1.2033228', '-0.7103888', '0.3438071', '0.00039658634', '0.29279226'](-0.015041363143856377, 0.2739119225519462, 0.08465310788593149)
236,['1.8631781', '-1.2033224', '-0.71038866', '0.3438071', '0.00039658634', '0.29279226'](-0.015041327749630415, 0.2739119527627986, 0.08465321221635053)
237,['1.8631781', '-1.203322', '-0.7103885', '0.3438071', '0.00039658634', '0.29279226'](-0.015041379199287904, 0.27391200064845694, 0.08465333145051485)
238,['1.8631781', '-1.2033217', '-0.7103883', '0.3438071', '0.00039658634', '0.29279226'](-0.015041390626898118, 0.27391201071372695, 0.08465342088829378)
239,['1.722343', '-1.0950162', '-0.93894994', '0.46384674', '0.0012900815', '0.15211286'](-0.01504139069331131, 0.27391205763500265, 0.08465354011866749)
240,['1.722343', '-1.0951198', '-0.93902797', '0.46384674', '0.0012900815', '0.15211286'](0.02489826050984523, 0.26396371793525236, 0.08492911566780524)
241,['1.722343', '-1.0951262', '-0.93903285', '0.46384674', '0.0012900815', '0.15211286'](0.02490164490419243, 0.2639413679326695, 0.08488997833335354)
242,['1.722343', '-1.0951266', '-0.93903315', '0.46384674', '0.0012900815', '0.15211286'](0.0249018608159867, 0.26394004174280566, 0.08488754907969863)
243,['1.722343', '-1.0951271', '-0.93903303', '0.46384674', '0.0012900815', '0.15211286'](0.02490186097828825, 0.26393997226887583, 0.08488742985898758)
244,['1.722343', '-1.0951267', '-0.93903285', '0.46384674', '0.0012900815', '0.15211286'](0.02490186272613754, 0.26393988520614636, 0.08488734043434025)
245,['1.722343', '-1.0951263', '-0.93903273', '0.46384674', '0.0012900815', '0.15211286'](0.024901866572873927, 0.26394002462035593, 0.08488747456882606)
246,['1.7610999', '-1.0875849', '-0.95737803', '0.47460696', '-0.00086857064', '0.18985318'](0.0249018608159867, 0.26394004174280566, 0.08488754907969863)
247,['1.7610999', '-1.0875942', '-0.95738494', '0.47460696', '-0.00086857064', '0.18985318'](0.015048264521456928, 0.2639097577379276, 0.0846977510839011)
248,['1.7610999', '-1.0875945', '-0.95738524', '0.47460696', '-0.00086857064', '0.18985318'](0.015048633305283393, 0.26390774112755394, 0.08469426374927902)
249,['1.7610999', '-1.0875949', '-0.9573851', '0.47460696', '-0.00086857064', '0.18985318'](0.015048674589986792, 0.2639076805656024, 0.08469411473005406)
250,['1.7610999', '-1.0875945', '-0.95738494', '0.47460696', '-0.00086857064', '0.18985318'](0.015048668061560235, 0.2639076285920181, 0.08469405511612581)
251,['1.7610999', '-1.087594', '-0.95738477', '0.47460696', '-0.00086857064', '0.18985318'](0.015048674589986792, 0.2639076805656024, 0.08469411473005406)
252,['1.7610999', '-1.0875936', '-0.95738465', '0.47460696', '-0.00086857064', '0.18985318'](0.015048651927323943, 0.263907829763922, 0.08469435318092577)
253,['1.7992067', '-1.0838696', '-0.96508026', '0.47813445', '-0.0004001492', '0.22840583'](0.015048648380142826, 0.26390787232464025, 0.08469438298651182)
254,['1.7992067', '-1.083875', '-0.9650843', '0.47813445', '-0.0004001492', '0.22840583'](0.005023451341629337, 0.2638731851074913, 0.08468683304810241)
255,['1.7992067', '-1.083875', '-0.9650844', '0.47813445', '-0.0004001492', '0.22840583'](0.005023704469560513, 0.26387204694811506, 0.08468483630846546)
256,['1.7992067', '-1.0838753', '-0.96508425', '0.47813445', '-0.0004001492', '0.22840583'](0.005023704469560513, 0.26387204694811506, 0.08468483630846546)
257,['1.7992067', '-1.083875', '-0.9650841', '0.47813445', '-0.0004001492', '0.22840583'](0.005023774198521128, 0.2638719938635123, 0.08468468729935952)
258,['1.7992067', '-1.0838745', '-0.9650839', '0.47813445', '-0.0004001492', '0.22840583'](0.005023704469560513, 0.26387204694811506, 0.08468483630846546)
259,['1.7992067', '-1.083874', '-0.9650837', '0.47813445', '-0.0004001492', '0.22840583'](0.0050236743809865675, 0.26387215356653193, 0.08468495551332043)
260,['1.8370839', '-1.0839467', '-0.9644997', '0.47704807', '-0.00040807104', '0.26585558'](0.005023687796253885, 0.26387220700737185, 0.08468507472713534)
261,['1.8370839', '-1.083949', '-0.96450144', '0.47704807', '-0.00040807104', '0.26585558'](-0.004965502533164826, 0.26383749433417697, 0.08467960299528564)
262,['1.8370839', '-1.0839493', '-0.9645012', '0.47704807', '-0.00040807104', '0.26585558'](-0.004965388063882877, 0.2638370355896485, 0.08467879849276339)
263,['1.8370839', '-1.0839491', '-0.96450096', '0.47704807', '-0.00040807104', '0.26585558'](-0.004965403203905755, 0.2638370096782043, 0.0846787686818334)
264,['1.8370839', '-1.0839487', '-0.9645008', '0.47704807', '-0.00040807104', '0.26585558'](-0.004965383152247658, 0.2638370365751548, 0.0846788580764502)
265,['1.8370839', '-1.0839483', '-0.9645006', '0.47704807', '-0.00040807104', '0.26585558'](-0.004965451548558825, 0.26383717309840354, 0.08467902195732001)
266,['1.8370839', '-1.0839478', '-0.9645004', '0.47704807', '-0.00040807104', '0.26585558'](-0.0049654563424486224, 0.2638372308271269, 0.08467914115116595)
267,['1.8747082', '-1.0874838', '-0.95884687', '0.4767513', '-0.0012406637', '0.3039397'](-0.0049654817030123895, 0.2638372608907095, 0.08467924543568649)
268,['1.8747082', '-1.0874727', '-0.9588384', '0.4767513', '-0.0012406637', '0.3039397'](-0.014944935447642388, 0.26394548584709654, 0.08464789908178273)
269,['1.8747082', '-1.087472', '-0.9588378', '0.4767513', '-0.0012406637', '0.3039397'](-0.014945670831421443, 0.2639477315448171, 0.08465201330690066)
270,['1.8747082', '-1.0874716', '-0.9588377', '0.4767513', '-0.0012406637', '0.3039397'](-0.014945704844131186, 0.2639479462298431, 0.08465229655624512)
271,['1.8747082', '-1.0874711', '-0.9588375', '0.4767513', '-0.0012406637', '0.3039397'](-0.014945748749495445, 0.2639479784698841, 0.08465244561023316)
272,['1.8747082', '-1.0874707', '-0.9588374', '0.4767513', '-0.0012406637', '0.3039397'](-0.014945774953209263, 0.2639480721475933, 0.08465253505793746)
273,['1.8747082', '-1.0874702', '-0.9588373', '0.4767513', '-0.0012406637', '0.3039397'](-0.014945794013635752, 0.26394819152768867, 0.08465280336600195)
274,['1.7288269', '-1.0011576', '-1.1408085', '0.57159805', '-0.00077240163', '0.15887193'](-0.014945807106377378, 0.2639482287942637, 0.0846529077169376)
275,['1.7288269', '-1.0012436', '-1.1408731', '0.57159805', '-0.00077240163', '0.15887193'](0.025034575941618977, 0.25396179363106086, 0.08487804970130357)
276,['1.7288269', '-1.0012491', '-1.1408774', '0.57159805', '-0.00077240163', '0.15887193'](0.025037626606278767, 0.2539427293307368, 0.08484688794221121)
277,['1.7288269', '-1.0012492', '-1.1408776', '0.57159805', '-0.00077240163', '0.15887193'](0.025037812007072398, 0.2539414967613234, 0.08484481650785414)
278,['1.7288269', '-1.0012497', '-1.1408777', '0.57159805', '-0.00077240163', '0.15887193'](0.025037812007072398, 0.2539414967613234, 0.08484481650785414)
279,['1.7288269', '-1.0012494', '-1.1408782', '0.57159805', '-0.00077240163', '0.15887193'](0.025037840361125236, 0.2539413779594407, 0.08484463767811504)
280,['1.7288269', '-1.0012491', '-1.1408787', '0.57159805', '-0.00077240163', '0.15887193'](0.025037823290961884, 0.2539413531846851, 0.08484468237932219)
281,['1.7686515', '-0.9949939', '-1.1563941', '0.5810112', '-0.000172221', '0.1983461'](0.025037859597277126, 0.25394130928751973, 0.08484465257889075)
282,['1.7686515', '-0.9950006', '-1.1563994', '0.5810112', '-0.000172221', '0.1983461'](0.015004036027102943, 0.25389861330689106, 0.08469066421241875)
283,['1.7686515', '-0.9950011', '-1.1563994', '0.5810112', '-0.000172221', '0.1983461'](0.015004354778931158, 0.253897089179643, 0.08468823500807289)
284,['1.7686515', '-0.99500084', '-1.1563995', '0.5810112', '-0.000172221', '0.1983461'](0.015004355769989841, 0.25389709649933817, 0.08468816049271269)
285,['1.7686515', '-0.9950008', '-1.1563998', '0.5810112', '-0.000172221', '0.1983461'](0.015004372062481576, 0.2538970109930801, 0.08468808597614622)
286,['1.7686515', '-0.99500084', '-1.1564002', '0.5810112', '-0.000172221', '0.1983461'](0.015004372102145992, 0.2538970651130377, 0.08468819029484821)
287,['1.7686515', '-0.99500084', '-1.1564006', '0.5810112', '-0.000172221', '0.1983461'](0.015004393240508297, 0.2538969586100914, 0.08468801146073611)
288,['1.8084826', '-0.9915661', '-1.1628278', '0.583004', '-0.0007766745', '0.2379238'](0.015004394697486231, 0.2538969029729182, 0.08468799654902077)
289,['1.8084826', '-0.99157345', '-1.1628333', '0.583004', '-0.0007766745', '0.2379238'](0.005054891955293443, 0.2538467588003682, 0.08469258062449929)
290,['1.8084826', '-0.99157375', '-1.1628336', '0.583004', '-0.0007766745', '0.2379238'](0.005055299530757368, 0.25384514137537595, 0.08468989892642538)
291,['1.8084826', '-0.9915735', '-1.1628337', '0.583004', '-0.0007766745', '0.2379238'](0.005055310414806285, 0.25384499769867247, 0.08468973504054161)
292,['1.8084826', '-0.99157345', '-1.162834', '0.583004', '-0.0007766745', '0.2379238'](0.005055316486340899, 0.2538450464623543, 0.08468982444018745)
293,['1.8084826', '-0.99157345', '-1.1628344', '0.583004', '-0.0007766745', '0.2379238'](0.005055316314076394, 0.2538450078033432, 0.08468977974514795)
294,['1.8084826', '-0.99157345', '-1.1628348', '0.583004', '-0.0007766745', '0.2379238'](0.00505531922320212, 0.2538449456844979, 0.08468972015216648)
295,['1.8476758', '-0.99166006', '-1.1624422', '0.58233505', '0.00016722693', '0.27735597'](0.005055345553860433, 0.2538448901721144, 0.0846896456637522)
296,['1.8476758', '-0.99166137', '-1.1624433', '0.58233505', '0.00016722693', '0.27735597'](-0.004993794876933412, 0.25380158763053096, 0.08467972185451277)
297,['1.8476758', '-0.9916614', '-1.1624433', '0.58233505', '0.00016722693', '0.27735597'](-0.00499370452591392, 0.25380123896794377, 0.084679155780692)
298,['1.8476758', '-0.99166125', '-1.1624436', '0.58233505', '0.00016722693', '0.27735597'](-0.00499370452591392, 0.25380123896794377, 0.084679155780692)
299,['1.8476758', '-0.99166125', '-1.162444', '0.58233505', '0.00016722693', '0.27735597'](-0.004993716477592763, 0.25380126376583906, 0.0846792749657385)
300,['1.8476758', '-0.99166125', '-1.1624444', '0.58233505', '0.00016722693', '0.27735597'](-0.004993692473286368, 0.253801240163359, 0.08467918558275336)
301,['1.8476758', '-0.99166125', '-1.1624447', '0.58233505', '0.00016722693', '0.27735597'](-0.004993667587443953, 0.2538011512314754, 0.08467915581019138)
302,['1.8866462', '-0.99511325', '-1.1575825', '0.5832505', '-0.00017314173', '0.3158763'](-0.004993670899975494, 0.2538011060469733, 0.08467909622027092)
303,['1.8866462', '-0.9951001', '-1.1575727', '0.5832505', '-0.00017314173', '0.3158763'](-0.015013859339194283, 0.25393772785161295, 0.08464298915053965)
304,['1.8866462', '-0.9950992', '-1.1575718', '0.5832505', '-0.00017314173', '0.3158763'](-0.01501473854755045, 0.2539404807200696, 0.08464771483850618)
305,['1.8866462', '-0.995099', '-1.1575714', '0.5832505', '-0.00017314173', '0.3158763'](-0.015014852118028986, 0.2539407401235494, 0.08464811732981398)
306,['1.8866462', '-0.99509895', '-1.1575719', '0.5832505', '-0.00017314173', '0.3158763'](-0.015014862318967962, 0.25394079533881864, 0.0846481471694296)
307,['1.8866462', '-0.99509895', '-1.1575723', '0.5832505', '-0.00017314173', '0.3158763'](-0.015014852118028986, 0.2539407401235494, 0.08464811732981398)
308,['1.8866462', '-0.9950989', '-1.1575726', '0.5832505', '-0.00017314173', '0.3158763'](-0.015014798532399247, 0.25394065350381273, 0.08464804278490401)
309,['1.7352585', '-0.92063427', '-1.3148608', '0.665126', '0.00034604958', '0.16501628'](-0.015014823976408659, 0.2539406671205005, 0.08464813221271054)
310,['1.7352585', '-0.9207096', '-1.3149174', '0.665126', '0.0003460495', '0.16501628'](0.024963169527852606, 0.24394568277966663, 0.0848474278212398)
311,['1.7352585', '-0.92071426', '-1.3149211', '0.665126', '0.0003460495', '0.16501628'](0.024965997074360872, 0.2439286257950412, 0.08482119868742473)
312,['1.7352585', '-0.9207144', '-1.3149215', '0.665126', '0.0003460495', '0.16501628'](0.02496618502419143, 0.24392751549125102, 0.08481955940466152)
313,['1.7352585', '-0.92071426', '-1.3149216', '0.665126', '0.0003460495', '0.16501628'](0.024966153104693665, 0.24392744030866922, 0.08481939548247427)
314,['1.7352585', '-0.92071414', '-1.3149221', '0.665126', '0.0003460495', '0.16501628'](0.024966192854233352, 0.24392740744946603, 0.0848194699836562)
315,['1.7352585', '-0.920714', '-1.3149226', '0.665126', '0.0003460495', '0.16501628'](0.02496622054687358, 0.24392734034355187, 0.08481942527448566)
316,['1.7770573', '-0.9148659', '-1.3291482', '0.6733702', '-0.00058523804', '0.20552501'](0.024966215586047894, 0.24392725297168708, 0.08481932095839016)
317,['1.7770573', '-0.9148736', '-1.3291538', '0.6733702', '-0.00058523804', '0.20552501'](0.015033272547907803, 0.2438917769813359, 0.08469151857477861)
318,['1.7770573', '-0.9148739', '-1.329154', '0.6733702', '-0.00058523804', '0.20552501'](0.015033632328115332, 0.2438900410942822, 0.08468876172713426)
319,['1.7770573', '-0.9148738', '-1.3291538', '0.6733702', '-0.00058523804', '0.20552501'](0.015033642502823087, 0.24388995078566966, 0.08468865741816395)
320,['1.7770573', '-0.91487366', '-1.3291543', '0.6733702', '-0.00058523804', '0.20552501'](0.015033632328115332, 0.2438900410942822, 0.08468876172713426)
321,['1.7770573', '-0.9148736', '-1.3291547', '0.6733702', '-0.00058523804', '0.20552501'](0.015033637423760305, 0.2438900023255844, 0.08468873192476688)
322,['1.7770573', '-0.9148735', '-1.3291552', '0.6733702', '-0.00058523804', '0.20552501'](0.015033684121284875, 0.2438898602211815, 0.08468861271216972)
323,['1.8183566', '-0.91172385', '-1.3351039', '0.67529273', '-0.00019127308', '0.24747327'](0.015033645339596457, 0.24388985270025437, 0.08468867230835522)
324,['1.8183566', '-0.91173065', '-1.335109', '0.67529273', '-0.00019127308', '0.24747327'](0.005021964822106357, 0.2438292641139569, 0.0846899313302792)
325,['1.8183566', '-0.91173106', '-1.3351091', '0.67529273', '-0.00019127308', '0.24747327'](0.005022342184557539, 0.2438278180777376, 0.08468760730938657)
326,['1.8183566', '-0.9117308', '-1.3351092', '0.67529273', '-0.00019127308', '0.24747327'](0.005022354737324435, 0.24382768148994907, 0.08468742854441551)
327,['1.8183566', '-0.9117307', '-1.3351097', '0.67529273', '-0.00019127308', '0.24747327'](0.005022356229799892, 0.24382771253357327, 0.08468750303635847)
328,['1.8183566', '-0.9117306', '-1.3351102', '0.67529273', '-0.00019127308', '0.24747327'](0.005022369206530266, 0.24382765570528908, 0.08468745834434305)
329,['1.8183566', '-0.9117306', '-1.3351107', '0.67529273', '-0.00019127308', '0.24747327'](0.005022384762576231, 0.2438275450015828, 0.08468739876450618)
330,['1.8592064', '-0.911767', '-1.3347676', '0.6746009', '0.00052242645', '0.28862095'](0.005022391212588415, 0.24382749104989207, 0.08468735407970947)
331,['1.8592064', '-0.9117684', '-1.3347687', '0.6746009', '0.00052242645', '0.28862095'](-0.005012568998544956, 0.24378600373131826, 0.08467884722941912)
332,['1.8592064', '-0.9117683', '-1.3347687', '0.6746009', '0.00052242645', '0.28862095'](-0.005012472285078644, 0.24378570104867173, 0.08467844506109)
333,['1.8592064', '-0.9117682', '-1.3347691', '0.6746009', '0.00052242645', '0.28862095'](-0.005012472285078644, 0.24378570104867173, 0.08467844506109)
334,['1.8592064', '-0.9117681', '-1.3347696', '0.6746009', '0.00052242645', '0.28862095'](-0.005012453241794643, 0.24378563811148568, 0.08467838547784988)
335,['1.8592064', '-0.911768', '-1.3347701', '0.6746009', '0.00052242645', '0.28862095'](-0.005012467499041216, 0.2437856079773943, 0.0846784152811472)
336,['1.8592064', '-0.9117679', '-1.3347706', '0.6746009', '0.00052242645', '0.28862095'](-0.005012423100683122, 0.24378549282485015, 0.08467834084203024)
337,['1.8996772', '-0.91514736', '-1.3299679', '0.6753139', '0.00045561817', '0.32842958'](-0.005012402880694373, 0.2437854180576003, 0.08467823655120763)
338,['1.8996772', '-0.9151352', '-1.3299589', '0.6753139', '0.00045561817', '0.32842958'](-0.015046177782193164, 0.2439048640108307, 0.08464590367263285)
339,['1.8996772', '-0.9151344', '-1.3299582', '0.6753139', '0.00045561817', '0.32842958'](-0.015047082827083265, 0.2439075072887377, 0.084650136987784)
340,['1.8996772', '-0.91513425', '-1.3299578', '0.6753139', '0.00045561817', '0.32842958'](-0.015047144861312266, 0.243907719358161, 0.08465043510763508)
341,['1.8996772', '-0.91513425', '-1.3299583', '0.6753139', '0.00045561817', '0.32842958'](-0.015047163584183171, 0.24390775574132856, 0.08465047983510064)
342,['1.8996772', '-0.91513413', '-1.3299588', '0.6753139', '0.00045561817', '0.32842958'](-0.015047144861312266, 0.243907719358161, 0.08465043510763508)
343,['1.8996772', '-0.915134', '-1.3299593', '0.6753139', '0.00045561817', '0.32842958'](-0.015047115417447863, 0.24390762215891976, 0.08465042017901046)
344,['1.7116246', '-1.4582117', '-0.27688432', '0.16000718', '0.00021241455', '0.14086403'](-0.01504710320839652, 0.24390756454367027, 0.08465037546280631)
345,['1.7115437', '-1.4545156', '-0.27698106', '0.16224328', '0.00072586513', '0.14080651'](0.02506068069259161, 0.28333757696826456, 0.07359240819187764)
346,['1.7115437', '-1.4544605', '-0.27693972', '0.16224328', '0.00072586513', '0.14080651'](0.024935844953047365, 0.283974699344338, 0.07476492473619095)
347,['1.7115437', '-1.454457', '-0.27693692', '0.16224328', '0.00072586513', '0.14080651'](0.024934271537764133, 0.2839859320788639, 0.07478716718647503)
348,['1.7115437', '-1.4544567', '-0.27693668', '0.16224328', '0.00072586513', '0.14080651'](0.02493417126026091, 0.2839866633126097, 0.07478858347015349)
