214;2025-10-03 17:51:21.714310;102.3, -67.85, -40.16, 16.17, 0.26, 12.04
216;2025-10-03 17:51:21.772455;None
217;2025-10-03 17:51:21.933142;102.3, -67.85, -40.16, 16.17, 0.26, 12.04
218;2025-10-03 17:51:21.996357;102.3, -67.85, -40.16, 16.17, 0.26, 12.04
219;2025-10-03 17:51:22.050805;102.3, -67.85, -40.16, 16.17, 0.26, 12.12
220;2025-10-03 17:51:22.325540;104.41, -67.85, -40.16, 16.17, 0.26, 14.15
226;2025-10-03 17:51:22.378082;None
227;2025-10-03 17:51:22.663059;104.41, -67.85, -40.16, 16.17, 0.26, 14.15
229;2025-10-03 17:51:22.719572;104.41, -67.85, -40.16, 16.17, 0.26, 14.15
230;2025-10-03 17:51:22.763314;104.41, -67.85, -40.16, 16.17, 0.26, 14.15
231;2025-10-03 17:51:22.963886;104.41, -67.85, -40.16, 16.17, 0.26, 14.15
233;2025-10-03 17:51:23.026154;104.41, -67.85, -40.16, 16.17, 0.26, 14.15
234;2025-10-03 17:51:23.075844;None
235;2025-10-03 17:51:23.227951;None
236;2025-10-03 17:51:23.391072;104.41, -67.85, -40.16, 16.17, 0.26, 14.23
237;2025-10-03 17:51:23.459355;104.41, -67.85, -40.16, 16.17, 0.26, 14.23
238;2025-10-03 17:51:23.554974;104.41, -67.85, -40.16, 16.17, 0.26, 14.23
239;2025-10-03 17:51:23.753435;104.41, -67.85, -40.16, 16.17, 0.26, 14.23
241;2025-10-03 17:51:23.814998;104.41, -67.85, -40.16, 16.17, 0.26, 14.23
242;2025-10-03 17:51:23.860640;104.41, -67.85, -40.16, 16.17, 0.26, 14.23
243;2025-10-03 17:51:24.057553;104.41, -67.85, -40.16, 16.17, 0.26, 14.23
245;2025-10-03 17:51:24.105385;104.41, -67.85, -40.16, 16.17, 0.26, 14.23
246;2025-10-03 17:51:24.203627;None
247;2025-10-03 17:51:24.351860;104.41, -67.85, -40.16, 16.17, 0.26, 14.23
248;2025-10-03 17:51:24.551929;104.41, -67.85, -40.16, 16.17, 0.26, 14.23
250;2025-10-03 17:51:24.612853;104.41, -67.85, -40.16, 16.17, 0.26, 14.32
